tanggal,jam,suhu_celsius,hari_libur,jumlah_penghuni,jumlah_perangkat_aktif,jam_penggunaan_rata_rata,konsumsi_kwh
1993-07-20,21,34.82,0,3,15,8.29,32.901
1993-07-21,13,29.84,0,2,14,6.09,18.968
1993-07-22,7,30.23,0,2,10,6.43,17.624
1993-07-23,19,33.13,0,2,15,6.43,24.945
1993-07-24,13,29.03,0,1,10,8.98,15.989
1993-07-25,18,31.88,0,5,11,9.56,25.672
1993-07-26,7,31.16,0,4,3,7.74,19.455
1993-07-27,22,30.73,0,6,5,8.08,20.309
1993-07-28,12,29.88,0,3,7,6.38,14.975
1993-07-29,17,28.45,0,2,3,9.32,12.322
1993-07-30,22,32.69,0,5,14,6.79,27.48
1993-07-31,17,30.49,0,5,8,7.56,21.437
1993-08-01,19,31.47,0,6,4,9.53,21.605
1993-08-02,21,30.0,0,4,3,8.96,15.736
1993-08-03,14,30.01,0,1,9,8.65,15.565
1993-08-04,20,30.16,0,2,10,8.54,18.203
1993-08-05,19,30.83,0,1,15,8.38,19.017
1993-08-06,5,29.6,0,5,14,6.44,20.748
1993-08-07,19,27.26,0,3,9,9.92,17.329
1993-08-08,20,29.16,0,4,4,10.97,19.991
1993-08-09,22,28.54,0,6,12,9.27,21.032
1993-08-10,21,30.98,0,1,5,7.24,15.856
1993-08-11,20,31.11,0,1,6,6.61,15.453
1993-08-12,6,30.8,0,1,13,8.36,19.855
1993-08-13,15,30.97,0,6,9,9.5,23.165
1993-08-14,20,33.57,0,1,11,9.17,25.477
1993-08-15,22,32.21,0,1,3,11.2,20.276
1993-08-16,20,28.75,0,6,7,9.12,18.531
1993-08-17,20,30.24,1,5,9,9.56,22.372
1993-08-18,18,30.65,0,3,6,6.56,17.285
1993-08-19,19,32.97,0,3,7,7.47,21.963
1993-08-20,22,29.86,0,3,13,9.67,22.285
1993-08-21,15,31.0,0,6,14,10.11,27.686
1993-08-22,18,29.28,0,4,5,8.31,17.096
1993-08-23,20,32.07,0,4,4,8.9,20.834
1993-08-24,20,28.54,0,6,5,8.37,16.556
1993-08-25,20,28.76,0,1,6,8.36,12.478
1993-08-26,20,32.0,0,4,3,7.86,19.827
1993-08-27,21,30.87,1,4,9,9.9,20.809
1993-08-28,17,32.44,0,1,9,9.17,23.912
1993-08-29,21,31.81,0,5,14,10.55,28.355
1993-08-30,17,29.96,0,3,15,9.74,21.923
1993-08-31,16,32.39,0,2,10,9.74,23.383
1993-09-01,21,32.13,0,3,3,9.8,22.704
1993-09-02,15,29.81,0,1,4,8.35,14.112
1993-09-03,18,27.69,0,1,8,7.83,13.559
1993-09-04,5,30.86,0,5,13,7.94,24.201
1993-09-05,7,30.74,0,6,3,11.5,21.768
1993-09-06,19,31.16,0,5,14,6.12,24.384
1993-09-07,22,31.23,0,1,3,8.63,15.034
1993-09-08,18,31.22,0,5,10,9.21,22.358
1993-09-09,22,31.07,0,6,15,9.09,28.746
1993-09-10,15,29.81,0,1,4,8.02,12.295
1993-09-11,21,29.0,0,4,13,8.27,22.4
1993-09-12,5,32.44,1,5,10,7.72,28.219
1993-09-13,18,27.08,0,1,8,6.37,11.675
1993-09-14,13,28.82,0,4,13,8.55,21.71
1993-09-15,15,29.26,0,1,8,8.8,15.757
